id;name;logo
LUZ_DF;Luziânia-DF;
MAD_RJ;Madureira-RJ;https://ssl.gstatic.com/onebox/media/sports/logos/flJKormLpp86cWMgLK7QHg_48x48.png
MAR_MA;Maranhão;
MAD_SC;Marcílio Dias-SC;
MAR_SP;Marília-SP;https://ssl.gstatic.com/onebox/media/sports/logos/fW4TLamN3QhiNUxkutyhJQ_48x48.png
MIN_GO;Mineiros-GO;
MIX_MT;Mixto-MT;
MTC_MA;Moto Club-MA;https://ssl.gstatic.com/onebox/media/sports/logos/X5on_Cx9L9o8cUSeKZl3zw_48x48.png
NAC_AM;Nacional-AM;
NAC_PB;Nacional-PB;
NAU_PE;Náutico;https://ssl.gstatic.com/onebox/media/sports/logos/ShnE2eI_Q37QTEvvQCopqg_48x48.png
NOR_SP;Noroeste-SP;
NVH_RS;Novo Hamburgo-RS;
OVG_MT;Operário VG-MT;
OPE_MS;Operário-MS;
OPE_MT;Operário-MT;
PAL_SP;Palmeiras;https://ssl.gstatic.com/onebox/media/sports/logos/7spurne-xDt2p6C0imYYNA_48x48.png
PAR_PR;Paraná;https://ssl.gstatic.com/onebox/media/sports/logos/g_pK1vKk8tVNEbr_-fYlug_48x48.png
PRN_PR;Paranavaí-PR;
PAR_PI;Parnahyba-PI;
PAU_SP;Paulista-SP;
PAY_PA;Paysandu;https://ssl.gstatic.com/onebox/media/sports/logos/1aw29215gcFtsyu07fCifw_48x48.png
PIA_PI;Piauí;
PIR_SE;Pirambu-SE;
POC_BA;Poções-BA;
PTP_SP;Ponte Preta;https://ssl.gstatic.com/onebox/media/sports/logos/0e4mOPeQPUipr9oh54-7NQ_48x48.png
POR_PE;Porto-PE;
POR_SP;Portuguesa-SP;https://ssl.gstatic.com/onebox/media/sports/logos/a9BSJk9BywwXNj4LJPq5jg_48x48.png
POT_RN;Potiguar-RN;
REM_PA;Remo;https://ssl.gstatic.com/onebox/media/sports/logos/bENrK5iSMF6sXrEkDNNxng_48x48.png
RBR_AC;Rio Branco-AC;
RBC_PR;Rio Branco-PR;
RBC_SP;Rio Branco-SP;
RNO_AM;Rio Negro-AM;
RIV_PI;River-PI;https://ssl.gstatic.com/onebox/media/sports/logos/SfgaI3aGTzKkqHH_g0RmyA_48x48.png
ROM_PR;Roma-PR;
SAM_MA;Sampaio Corrêa-MA;https://ssl.gstatic.com/onebox/media/sports/logos/G52t9iE9YvNjIKh-8xyHGg_48x48.png
SCZ_PE;Santa Cruz;https://ssl.gstatic.com/onebox/media/sports/logos/NWbDR2-iD5-EjMZOEbKlJw_48x48.png
STA_SP;Santo André-SP;https://ssl.gstatic.com/onebox/media/sports/logos/gvCb4nd1fAVkf4U3_smQtw_48x48.png
SAN_SP;Santos;https://ssl.gstatic.com/onebox/media/sports/logos/VHdNOT6wWOw_vJ38GMjMzg_48x48.png
SCA_SP;São Caetano-SP;https://ssl.gstatic.com/onebox/media/sports/logos/yqZ-C7aHxZIRDdwCo_dRdA_48x48.png
SAJ_AP;São José-AP;
SAO_SP;São Paulo;https://ssl.gstatic.com/onebox/media/sports/logos/4w2Z97Hf9CSOqICK3a8AxQ_48x48.png
SRA_AM;São Raimundo-AM;
SRA_RR;São Raimundo-RR;
SER_MS;SERC-MS;
SER_SE;Sergipe;
SER_ES;Serra-ES;
SER_SP;Sertãozinho-SP;
SPO_PE;Sport;https://ssl.gstatic.com/onebox/media/sports/logos/u9Ydy0qt6JJjWhTaI6r10A_48x48.png
TRE_PB;Treze-PB;https://ssl.gstatic.com/onebox/media/sports/logos/jezs6er51UtV69Fqi0IJtw_48x48.png
TUN_PA;Tuna Luso-PA;
TUP_MG;Tupi-MG;
ULB_RO;ULBRA-RO;
ULB_RS;ULBRA-RS;
UBA_SP;União Barbarense-SP;
URT_MG;URT-MG;
VAS_RJ;Vasco;https://ssl.gstatic.com/onebox/media/sports/logos/_4RUqwd5euAxf0MtbPwq4A_48x48.png
VCZ_PE;Vera Cruz-PE;
VER_RS;Veranópolis-RS;
VLA_MT;Vila Aurora-MT;
VIL_GO;Vila Nova-GO;https://ssl.gstatic.com/onebox/media/sports/logos/v3upsCABZm2skuxyszzvwg_48x48.png
VLV_ES;Vilavelhense-ES;
VIL_RO;Vilhena-RO;
VIL_MG;Villa Nova-MG;
VIT_BA;Vitória;https://ssl.gstatic.com/onebox/media/sports/logos/LHSM6VchpkI4NIptoSTHOg_48x48.png
VIT_ES;Vitória-ES;
VLR_RJ;Volta Redonda-RJ;https://ssl.gstatic.com/onebox/media/sports/logos/DsXF0mAUd6L0JjRhOwsr2w_48x48.png
YPI_PE;Ypiranga-PE;
